Position,Rating,Review Title,Role,Pros,Cons
190,4,"Great company, people and industry position. Work to do to modernize the business.",Marketing director,"Great, caring culture. Front of a major thriving industry. Can be slow to move and has work to do to modernize business and people practice but overall is a great place to work.","It can take a lot of internal negotiation before sometimes straightforward decisions are made Is behind the curve in most people practices while needing to draw talent in highly competitive markets (pay, stock, performance management, recruiting, HRBPs truly understanding businesses, etc)."
191,3,Chaotic mess,Senior tools engineer,* Nice office * Friendly people * Free access to car park * Hybrid and fully remote arrangement possible for most positions,"* 20-25% of time spent in meetings scattered through the day * No clear vision for projects, scope changes regularly, PO/PM unsure of the requirements * No clear deadlines for projects, no time for proper planning, just bodging to be ready by next week * Technical decisions made by managers unfamiliar with the technologies used in the projects * Lots of unfulfiled promises * Low salary"
192,4,Nice,Senior software engineer,It's a nice place to work,No advise for the management
193,4,Great culture but very silo'd,Crm lead,Everyone at PlayStation is very enthusiastic about what they do and super passionate about the industry,"All teams work in a silo so it feels very disjointed, could be a lot more aligned so it feels like one company"
194,5,Great Place to Work,Anonymous employee,Culture is great if you are into video games and stuff,No cons for right now
195,3,Ok,Manager,Good company Famous brand Secure job,Not great culture No challenges
196,5,Good company,Software engineer,"Friendly , exciting. Everybody knows the company.","Too much work, especially before release."
197,5,Great Place To Work,Software development engineer in test (sdet) ii,Very Fun Interesting tech stack people are enjoyable to work with,no cons i can think of
198,3,Analyst,Analyst,Good company and good people mostly I'd say probably,Behind with times quite a bit
199,4,if you love games,3d artist,Creative workplace. Great people with lots of talent.,Susceptible to business cycle and late hours on tail end of projects
200,4,Good for only few years,Analytical engineer,Benefits Technology Extra time off during summer Great people Hybrid working,Politics Hard to get promoted Lack of diversity
201,2,Archaic Middle Management,Anonymous employee,Fantastic people and colleagues Good benefits,Middle management Cut throat mentality
202,5,Cool work in a great company,Anonymous employee,Iconic brands and titles to work on Great people and culture,Not so many cons to be honest
203,1,Not all it's chalked up to be,Director,The brand is solid Occasional thoughtfulness,"Men are paid more than women for the same and similar roles Leave of absences are not protected like they should be legally Office politics Actively hostile to remote working compared to in person or hybrid Slow response time of team members, which signals this company tolerating poor performance and understaffing HR team is incredibly slow to respond - the worst response time out of anywhere I've worked Big egos at the VP level Unclear ownership Very top down"
204,4,Good,Anonymous employee,"salary, competitive, place, company and","crunch, free, mail, rent and"
205,3,Pretty good place to work,Anonymous employee,"Free games, free gym, free food",Poor communication in some areas and stifling of creativity
206,5,video game tester,Video game tester,making the game look cool,nothing none none none none
207,3,Great Company if you are working for HQ,Producer,Talented and friendly teams. Liberal culture. Great brand and benefit.,"If you are working in the divisions in Japan, you will not be delegated to do much unless you are making hardware."
